a,b,c
5001.0,1000.0,5100.0
5000.0,1001.0,5099.2
5002.0,1001.0,5101.2
5000.0,1003.0,5099.6
5002.0,1000.0,5101.0
5001.0,1000.0,5100.0
5002.0,1002.0,5101.4
5000.0,1000.0,5099.0
5002.0,1003.0,5101.6
5000.0,1000.0,5099.0
5001.0,1002.0,5100.4
5002.0,1001.0,5101.2
5001.0,1002.0,5100.4
5002.0,1003.0,5101.6
5002.0,1002.0,5101.4
5000.0,1002.0,5099.4
5002.0,1003.0,5101.6
5001.0,1003.0,5100.6
5002.0,1001.0,5101.2
5001.0,1001.0,5100.2
5001.0,1000.0,5100.0
5000.0,1000.0,5099.0
5002.0,1002.0,5101.4
5001.0,1003.0,5100.6
5000.0,1003.0,5099.6
5002.0,1002.0,5101.4
5000.0,1002.0,5099.4
5002.0,1002.0,5101.4
5000.0,1003.0,5099.6
5001.0,1003.0,5100.6
5002.0,1003.0,5101.6
5000.0,1000.0,5099.0
5002.0,1000.0,5101.0
5000.0,1003.0,5099.6
5000.0,1000.0,5099.0
5002.0,1003.0,5101.6
5002.0,1003.0,5101.6
5002.0,1001.0,5101.2
5002.0,1001.0,5101.2
5001.0,1003.0,5100.6
5002.0,1003.0,5101.6
5002.0,1000.0,5101.0
5001.0,1002.0,5100.4
5001.0,1002.0,5100.4
5001.0,1003.0,5100.6
5001.0,1000.0,5100.0
5001.0,1003.0,5100.6
5000.0,1000.0,5099.0
5001.0,1001.0,5100.2
5000.0,1001.0,5099.2
5000.0,1001.0,5099.2
5001.0,1001.0,5100.2
5000.0,1002.0,5099.4
5002.0,1000.0,5101.0
5000.0,1002.0,5099.4
5002.0,1000.0,5101.0
5002.0,1001.0,5101.2
5001.0,1003.0,5100.6
5000.0,1001.0,5099.2
5000.0,1003.0,5099.6
5001.0,1001.0,5100.2
5002.0,1002.0,5101.4
5000.0,1000.0,5099.0
5002.0,1003.0,5101.6
5002.0,1000.0,5101.0
5002.0,1002.0,5101.4
5001.0,1000.0,5100.0
5000.0,1003.0,5099.6
5001.0,1003.0,5100.6
5001.0,1000.0,5100.0
5002.0,1003.0,5101.6
5002.0,1003.0,5101.6
5002.0,1003.0,5101.6
5002.0,1003.0,5101.6
5001.0,1001.0,5100.2
5000.0,1001.0,5099.2
5002.0,1003.0,5101.6
5002.0,1001.0,5101.2
5002.0,1001.0,5101.2
5002.0,1003.0,5101.6
5001.0,1003.0,5100.6
5002.0,1003.0,5101.6
5000.0,1000.0,5099.0
5001.0,1002.0,5100.4
5002.0,1002.0,5101.4
5000.0,1001.0,5099.2
5000.0,1003.0,5099.6
5000.0,1000.0,5099.0
5002.0,1001.0,5101.2
5000.0,1000.0,5099.0
5000.0,1000.0,5099.0
5001.0,1001.0,5100.2
5002.0,1002.0,5101.4
5000.0,1002.0,5099.4
5000.0,1002.0,5099.4
5002.0,1002.0,5101.4
5001.0,1000.0,5100.0
5002.0,1003.0,5101.6
5001.0,1001.0,5100.2
5001.0,1001.0,5100.2
5002.0,1000.0,5101.0
5001.0,1003.0,5100.6
5001.0,1000.0,5100.0
5001.0,1002.0,5100.4
5002.0,1002.0,5101.4
5002.0,1001.0,5101.2
5001.0,1003.0,5100.6
5002.0,1001.0,5101.2
5002.0,1001.0,5101.2
5002.0,1000.0,5101.0
5002.0,1002.0,5101.4
5000.0,1001.0,5099.2
5000.0,1002.0,5099.4
5000.0,1002.0,5099.4
5002.0,1000.0,5101.0
5002.0,1003.0,5101.6
5002.0,1000.0,5101.0
5000.0,1000.0,5099.0
5002.0,1003.0,5101.6
5000.0,1000.0,5099.0
5000.0,1000.0,5099.0
5001.0,1002.0,5100.4
5001.0,1001.0,5100.2
5000.0,1000.0,5099.0
5000.0,1002.0,5099.4
5002.0,1002.0,5101.4
5000.0,1001.0,5099.2
501.0,101.0,
501.0,102.0,
502.0,101.0,
502.0,103.0,
501.0,101.0,
502.0,102.0,
500.0,103.0,
501.0,101.0,
500.0,102.0,
502.0,103.0,
501.0,102.0,
502.0,100.0,
,102.0,
,102.0,
,101.0,
,100.0,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
